20,252
10,251
0,260
0,292
30,306
60,300
90,282
120,249
150,247
180,254
180,294
170,304
160,295
150,274
140,250
130,254
120,268
110,301
100,305
90,292
80,256
70,248
60,257
50,285
40,304
30,298
20,279
10,250
0,252
0,264
30,302
60,304
90,292
120,259
150,247
180,254
180,280
170,302
160,297
150,280
140,250
130,251
120,262
110,300
100,303
90,293
80,260
70,249
60,256
50,277
40,303
30,299
20,286
10,251
0,250
0,260
30,294
60,304
90,295
120,275
150,248
180,250
180,266
170,300
160,301
150,292
140,257
130,247
120,256
110,276
100,302
90,299
80,289
70,253
60,248
50,257
40,277
30,304
20,304
10,292
0,258
0,249
30,252
60,266
90,297
120,302
150,293
180,276
180,250
170,249
160,256
150,284
140,301
130,298
120,289
110,254
100,247
90,256
80,273
70,301
60,301
50,292
40,265
30,247
20,250
10,267
0,301
0,305
30,296
60,267
90,247
120,250
150,265
180,299
180,302
170,293
160,256
150,246
140,254
130,276
120,303
110,298
100,285
90,249
80,247
70,257
60,290
50,304
40,298
30,281
20,249
10,247
0,257
0,288
30,303
60,298
90,285
120,249
150,245
180,254
180,284
170,303
160,297
150,283
140,248
130,248
120,256
